organism_name,common_name,description
Mormoops blainvillei,Antillean ghost-faced bat,Description
Eudorcas thomsonii,Thomson's gazelle,Description
Vombatus ursinus,common wombat,Description
Cryptotis parvus,least shrew,Description
Lynx pardinus,Spanish lynx,Description
Rhynchomys soricoides,Mount Data shrew rat,Description
Antechinus stuartii,brown antechinus,Description
Mirza zaza,,Description
Hipposideros pendleburyi,Pendlebury's leaf-nosed bat,Description
Scalopus aquaticus,eastern mole,Description
Connochaetes taurinus,brindled gnu,Description
Hemitragus hylocrius,Nilgiri tahr,Description
Catagonus wagneri,Chacoan peccary,Description
Cavia tschudii,Montane guinea pig,Description
Dinomys branickii,pacarana,Description
Xerus inauris,South African ground squirrel,Description
Litocranius walleri,gerenuk,Description
Cephalophus harveyi,Harvey's duiker,Description
Neotragus moschatus,suni,Description
Hystrix cristata,crested porcupine,Description
Nesogale talazaci,Talazac's shrew tenrec,Description
Rhombomys opimus,great gerbil,Description
Saguinus imperator,tamarin,Description
Neodon shergylaensis,,Description
Alexandromys oeconomus,root vole,Description
Neofelis diardi,Sunda clouded leopard,Description
Antidorcas marsupialis,springbok,Description
Oreotragus oreotragus,klipspringer,Description
Cervus albirostris,white-lipped deer,Description
Sorex maritimensis,Maritime shrew,Description
Redunca redunca,Bohar reedbuck,Description
Damaliscus lunatus,topi,Description
Dasyprocta punctata,punctate agouti,Description
Microcebus sp. 3 GT-2019,,Description
Lophiomys imhausi,crested rat,Description
Tragelaphus strepsiceros,greater kudu,Description
Mus spicilegus,steppe mouse,Description
Neotragus pygmaeus,royal antelope,Description
Orientallactaga bullata,Gobi jerboa,Description
Petromus typicus,dassie-rat,Description
Microcebus tavaratra,,Description
Tragelaphus scriptus,bushbuck,Description
Dolichotis patagonum,Patagonian cavy,Description
Prionailurus iriomotensis,Iriomote cat,Description
Madoqua kirkii,Kirk's dik-dik,Description
Eulemur flavifrons,Sclater's lemur,Description
Rhabdomys dilectus,mesic four-striped grass rat,Description
Kobus ellipsiprymnus,waterbuck,Description
Raphicerus campestris,steenbok,Description
Oreamnos americanus,mountain goat,Description
Murina aurata feae,,Description
Zapus hudsonius,meadow jumping mouse,Description
Craseonycteris thonglongyai,hog-nosed bat,Description
Graphiurus murinus,woodland dormouse,Description
Microcebus ravelobensis,,Description
Peromyscus attwateri,Texas deermouse,Description
Eulemur macaco,black lemur,Description
Peromyscus nudipes,,Description
Oryx gazella,gemsbok,Description
Phataginus tetradactyla,long-tailed pangolin,Description
Peromyscus aztecus,Aztec mouse,Description
Microcebus griseorufus,,Description
Microcebus mittermeieri,Mittermeier's mouse lemur,Description
Nycticeius humeralis,evening bat,Description
Praomys delectorum,delectable soft-furred mouse,Description
Tragelaphus imberbis,lesser kudu,Description
Ellobius lutescens,Transcaucasian mole vole,Description
Philantomba maxwellii,Maxwell's duiker,Description
Sylvicapra grimmia,bush duiker,Description
Ellobius talpinus,Northern mole vole,Description
Nanger granti,Grant's gazelle,Description
Cabassous unicinctus,southern naked-tailed armadillo,Description
Grammomys dolichurus,common thicket rat,Description
Crocidura indochinensis,,Description
Sorex palustris,American water shrew,Description
Octomys mimax,viscacha rat,Description
Hylomyscus alleni,Allen's wood mouse,Description
Tympanoctomys barrerae,plains viscacha rat,Description
Capromys pilorides,Desmarest's hutia,Description
Cuniculus paca,Lowland paca,Description
Moschus chrysogaster,alpine musk deer,Description
Tragelaphus buxtoni,mountain nyala,Description
Tragelaphus oryx,eland,Description
Ourebia ourebi,oribi,Description
Alcelaphus buselaphus,hartebeest,Description
Manis culionensis,Palawan pangolin,Description
Neophocaena asiaeorientalis sunameri,East Asian finless porpoise,Description
Sus scrofa scrofa,,Description
Mus musculus musculus,eastern European house mouse,Description
Mus musculus molossinus,Japanese wild mouse,Description
Sus scrofa domesticus,domestic pig,Description
Canis lupus,gray wolf,Description
Oryctolagus cuniculus cuniculus,,Description
Panthera tigris tigris,Bengal tiger,Description
Elephas maximus,Asiatic elephant,Description
Rangifer tarandus caribou,,Description
Cervus elaphus hippelaphus,,Description
Ceratotherium simum cottoni,northern white rhinoceros,Description
Odocoileus virginianus,white-tailed deer,Description
Hippopotamus amphibius,hippopotamus,Description
Diceros bicornis,black rhinoceros,Description
Lama glama,llama,Description
Felis nigripes,black-footed cat,Description
Mustela putorius,European polecat,Description
Equus asinus asinus,,Description
Peromyscus maniculatus sonoriensis,,Description
Panthera tigris jacksoni,Malayan tiger,Description
Vicugna pacos huacaya,,Description
Rangifer tarandus,reindeer,Description
Rangifer tarandus granti,,Description
Rangifer tarandus tarandus,,Description
Prionailurus bengalensis euptilurus,Amur leopard cat,Description
Perognathus longimembris,little pocket mouse,Description
Ovis ammon,argali,Description
Ursus thibetanus japonicus,Japanese black bear,Description
Odocoileus hemionus hemionus,,Description
Odocoileus hemionus sitkensis,,Description
Equus quagga burchellii,Burchell's zebra,Description
Diceros bicornis michaeli,,Description
Enhydra lutris nereis,,Description
Dicerorhinus sumatrensis sumatrensis,,Description
Solenodon paradoxus woodi,,Description
Gulo gulo,wolverine,Description
Orycteropus afer,aardvark,Description
Nanger dama ruficollis,,Description
Microtus richardsoni arvicoloides,,Description
Giraffa camelopardalis antiquorum,Kordofan giraffe,Description
Giraffa camelopardalis,giraffe,Description
Mus musculus domesticus,western European house mouse,Description
Mus musculus castaneus,southeastern Asian house mouse,Description
Thylacinus cynocephalus,Tasmanian wolf,Description
Bubalus bubalis bubalis,,Description
Panthera tigris altaica,Amur tiger,Description
Ursus arctos horribilis,,Description
Pteronotus parnellii,Parnell's mustached bat,Description
Rhinolophus sinicus,Chinese rufous horseshoe bat,Description
Hippotragus equinus,roan antelope,Description
Ammotragus lervia,aoudad,Description
Pantholops hodgsonii,chiru,Description
Hydrodamalis gigas,Steller's sea cow,Description
Cynomys gunnisoni,Gunnison's prairie dog,Description
Hipposideros galeritus,Cantor's roundleaf bat,Description
Megaloceros giganteus,Irish elk,Description
Tragelaphus spekii,Sitatunga,Description
Ovis canadensis canadensis,,Description
Pan troglodytes verus,,Description
Gorilla gorilla,western gorilla,Description
Notamacropus eugenii eugenii,,Description
Notamacropus eugenii derbianus,,Description
Sminthopsis crassicaudata,fat-tailed dunnart,Description
Petaurus breviceps,sugar glider,Description
Potorous tridactylus,long-nosed potoroo,Description
Burramys parvus,mountain pygmy possum,Description
Acrobates pygmaeus,,Description
Phascogale calura,red-tailed phascogale,Description
Pseudochirulus forbesi,Painted ringtail,Description
Cercartetus nanus,,Description
Murexia naso,Long-nosed dasyure,Description
Phalanger carmelitae,mountain cuscus,Description
